TradeDate,StockCode,IndexWeight,ClosePrice,Volume,Amount,PE_TTM,PB,TotalMarketCap,AnnounceDate,ReportPeriod,ROE,Revenue_YoY,NetProfit_YoY
20231229,000001.SZ,0.524,672.7326,853852.79,803196.744,3.7578,0.4603,182221571879.22,20231025,20230930,8.8025,-7.6889,8.1181
20231229,000002.SZ,0.41,1900.6216,614077.78,642736.575,6.5035,0.4934,124795221066.66,20231028,20230930,5.497,-14.0268,-20.3112
20231229,000063.SZ,0.486,433.6688,802469.66,2116275.731,13.9165,1.9112,126660501096.96,20231024,20230930,12.5546,-3.4201,14.9733
20231229,000069.SZ,0.088,140.7421,423909.21,132534.636,-1.774,0.4115,25507579075.65,20231028,20230930,-4.997,8.4656,-2728.1199
20231229,000100.SZ,0.465,15.723,4214730.28,1789362.636,50.7203,1.543,80750047298.1,20231028,20230930,3.1287,5.2122,474.1425
20231229,000157.SZ,0.187,543.8585,231131.66,151355.319,18.9366,1.047,56667289301.08,20231031,20230930,5.2452,15.874,31.6523
20231229,000166.SZ,0.23,6.786,509531.37,226706.15,38.9081,1.1158,111177353846.4,20231031,20230930,4.4662,-9.8241,1.6
20231229,000301.SZ,0.146,22.5669,290879.69,276845.036,43.7841,1.728,63467645539.2,20231028,20230930,6.7598,121.8946,57.1477
20231229,000333.SZ,1.546,279.8322,259372.53,1410074.987,11.6994,2.4594,383753756399.04,20231031,20230930,18.5301,7.6725,13.2716
20231229,000338.SZ,0.426,291.6799,391515.98,535339.558,14.717,1.5795,119117500606.65,20231031,20230930,8.6358,22.8768,96.2882
20231229,000408.SZ,0.115,163.9398,77098.04,195201.313,8.9842,3.2316,40048224749.82,20231020,20230930,24.2166,-26.6673,-28.7401
20231229,000425.SZ,0.223,228.7308,624400.98,340517.324,14.4314,1.1595,64516266867.78,20231031,20230930,8.8882,-4.5086,3.4954
20231229,000538.SZ,0.254,1357.9618,48325.73,237321.632,18.3239,2.2142,88315794283.35,20231031,20230930,10.5204,10.302,78.9008
20231229,000568.SZ,0.76,6149.2798,78370.28,1409387.165,20.7724,6.8317,264104045513.98,20231031,20230930,29.0013,25.2093,28.5838
20231229,000596.SZ,0.219,818.0802,17937.0,418529.622,28.3996,5.9334,123058080000.0,20231028,20230930,19.4222,24.9754,45.3712
20231229,000617.SZ,0.079,41.1749,314124.44,169430.511,13.0935,0.6811,68267227026.6,20231031,20230930,5.3786,1.5414,5.9517
20231229,000625.SZ,0.481,248.6306,2013427.41,3404767.634,15.4818,2.3749,166907974425.39,20231031,20230930,14.8443,26.7771,43.225
20231229,000651.SZ,0.834,6400.0327,329146.91,1055454.739,6.8897,1.6122,181162322687.97,20231031,20230930,19.2153,5.0976,9.7682
20231229,000661.SZ,0.272,1097.166,32546.41,477314.74,13.7593,2.7658,58998697542.0,20231024,20230930,18.3459,10.7346,4.2662
20231229,000708.SZ,0.082,56.2946,55795.69,78004.099,11.9371,1.9316,70862072177.52,20231028,20230930,11.9104,14.4394,-21.09
20231229,000725.SZ,0.841,20.7478,4839620.97,1873698.998,44.7434,1.1657,146844863860.5,20231031,20230930,0.7665,-4.6927,-80.6816
20231229,000733.SZ,0.131,131.9631,64996.97,383604.056,12.6076,2.3658,32492988490.04,20231027,20230930,17.5254,5.7593,10.4525
20231229,000768.SZ,0.179,190.911,166668.43,372715.635,92.8835,3.7203,62227525388.27,20231031,20230930,4.8916,0.2392,22.2915
20231229,000776.SZ,0.243,86.8591,170313.01,243133.251,12.8049,0.9723,108905342718.56,20231031,20230930,4.5635,2.8467,11.0
20231229,000786.SZ,0.136,263.2399,121081.72,281682.78,11.1239,1.746,39466903189.12,20231027,20230930,12.654,10.1368,17.3247
20231229,000792.SZ,0.499,117.5278,261249.18,416444.278,9.541,2.9195,86654382918.4,20231031,20230930,20.4115,-32.9288,-53.6503
20231229,000800.SZ,0.045,22.5295,142526.03,120824.047,27.5129,1.6339,39414487037.5,20231031,20230930,1.7239,58.0135,163.2108
20231229,000858.SZ,1.567,2583.8354,194540.76,2730826.835,18.4406,4.4576,544628419181.55,20231028,20230930,19.3331,12.1132,14.2374
20231229,000876.SZ,0.122,169.2872,202864.51,188697.155,-16.2235,2.0007,42366627072.84,20231028,20230930,-14.383,6.3021,-42.5184
20231229,000877.SZ,0.067,49.156,110126.0,74099.689,107.2749,0.7263,57871664397.52,20231026,20230930,0.063,-18.5014,-98.7492
20231229,000895.SZ,0.16,690.802,95844.45,255257.965,15.7319,4.6001,92541100999.23,20231025,20230930,20.6206,3.726,6.4321
20231229,000938.SZ,0.255,136.9579,365395.67,707738.761,26.8784,1.6578,55342545561.9,20231030,20230930,4.7247,2.4585,-6.0329
20231229,000963.SZ,0.209,530.4982,159487.59,650361.814,26.8726,3.5835,72738474928.08,20231025,20230930,11.2616,9.1032,10.4759
20231229,000977.SZ,0.197,220.2183,443377.9,1471881.609,37.0041,2.8769,48874886050.4,20231031,20230930,4.593,-8.8509,-49.1246
20231229,000983.SZ,0.129,104.5552,379331.17,370714.576,6.956,1.5162,56089758462.92,20231026,20230930,16.1012,-16.0199,-39.6629
20231229,000999.SZ,0.113,106.9926,61740.54,305168.637,16.9511,2.6562,49142390320.0,20231028,20230930,13.5317,53.649,23.0628
20231229,001289.SZ,0.017,20.0642,34176.43,67429.097,28.3009,2.4092,166046690278.84,20231027,20230930,8.7422,-6.9878,14.0991
20231229,001979.SZ,0.199,12.4183,342417.7,324396.71,17.0121,0.8962,86349768766.81,20231031,20230930,3.4695,-15.2601,27.4472
20231229,002001.SZ,0.151,744.8331,121739.95,207057.49,19.3407,2.1662,52421788757.76,20231027,20230930,8.7964,-7.5385,-30.2168
20231229,002007.SZ,0.14,944.2511,108764.03,240840.581,32.5604,3.6855,40470921892.38,20231030,20230930,10.0066,8.6231,18.508
20231229,002027.SZ,0.368,92.816,866611.12,546453.525,21.4192,5.5225,91274702268.32,20231025,20230930,21.5198,17.7063,69.058
20231229,002049.SZ,0.264,417.6389,121914.81,822890.806,21.8552,5.2216,57306777335.45,20231028,20230930,19.4784,14.3057,-0.4793
20231229,002050.SZ,0.379,441.811,355409.46,1031116.203,35.3389,6.4419,109738896729.0,20231031,20230930,14.32,21.6475,32.6843
20231229,002074.SZ,0.132,97.1415,138670.64,298195.361,84.5892,1.5762,38371097321.5,20231028,20230930,1.2229,50.9649,94.6547
20231229,002129.SZ,0.291,83.1831,932146.17,1468003.441,7.8983,1.4438,63234330689.72,20231026,20230930,15.2013,-2.3891,23.7456
20231229,002142.SZ,0.459,46.179,389512.31,783210.872,5.2629,0.779,132798210827.12,20231031,20230930,10.6635,5.4541,12.5531
20231229,002179.SZ,0.238,564.5582,75570.29,293262.685,24.8544,4.1582,82681807806.0,20231025,20230930,15.522,23.3269,26.6369
20231229,002180.SZ,0.129,109.6643,139804.05,317574.5,61.1945,2.0052,32053361309.79,20231028,20230930,1.3338,-5.4314,-86.306
20231229,002202.SZ,0.127,65.4169,255334.1,203206.685,26.4198,0.9512,33800541176.0,20231027,20230930,3.3209,12.0619,-46.687
20231229,002230.SZ,0.495,629.3564,333603.28,1545400.716,446.8755,6.5775,107401662916.14,20231020,20230930,0.6072,-0.3717,-76.3556
20231229,002236.SZ,0.21,830.8298,250122.81,460441.754,18.8686,1.9144,60782952865.5,20231021,20230930,8.8396,5.2268,52.9815
20231229,002241.SZ,0.29,490.6863,1902286.61,3899313.428,-59.9459,2.3429,71862671232.0,20231027,20230930,2.9657,-0.2764,-76.768
20231229,002252.SZ,0.245,195.3288,495756.92,397577.023,25.7591,1.7832,53163846064.0,20231025,20230930,6.0977,19.8691,11.4598
20231229,002271.SZ,0.223,652.2186,305019.59,584190.917,17.1532,1.6711,48354512467.2,20231026,20230930,8.444,8.476,42.2208
20231229,002304.SZ,0.381,492.1392,37030.79,407299.575,15.7533,3.1762,165558313632.6,20231028,20230930,20.489,14.3508,12.474
20231229,002311.SZ,0.215,316.4729,56274.88,252286.0,24.0721,3.8689,74719011152.7,20231020,20230930,12.1256,10.0962,7.1286
20231229,002352.SZ,0.569,142.345,120902.16,485304.937,24.8255,2.1793,197766175869.2,20231031,20230930,7.078,-5.0896,40.0832
20231229,002371.SZ,0.375,1169.5177,46361.83,1139359.27,36.6847,5.7704,130261646366.34,20231031,20230930,13.6308,45.7044,71.0581
20231229,002410.SZ,0.131,308.1851,199981.87,343933.205,48.3646,4.6465,28535863332.84,20231027,20230930,4.2012,7.0169,-59.0185
20231229,002415.SZ,0.746,776.1881,332342.84,1141916.8,25.2142,4.5301,323958464324.32,20231021,20230930,12.6534,2.6015,0.1195
20231229,002459.SZ,0.198,54.2884,984561.87,2050554.319,7.6279,1.9808,68712672048.72,20231031,20230930,21.5753,21.6072,105.6189
20231229,002460.SZ,0.278,585.0682,373094.73,1602801.311,7.3673,1.7798,86334780941.2,20231031,20230930,12.987,-6.9887,-59.3788
20231229,002466.SZ,0.332,451.5729,369556.72,2080035.339,5.6376,1.7404,91563752115.57,20231027,20230930,16.0202,35.5158,-49.3254
20231229,002475.SZ,0.992,1173.979,802965.93,2760421.409,24.2926,4.7235,246254394352.2,20231021,20230930,15.0486,7.3132,15.2165
20231229,002493.SZ,0.181,158.6389,268353.35,276726.745,-52.3257,2.3218,104799183750.0,20231026,20230930,0.2329,6.1875,-98.026
20231229,002555.SZ,0.168,246.4477,875631.01,1634929.969,14.4355,3.3808,41718027125.61,20231031,20230930,17.8796,3.1245,-2.8548
20231229,002594.SZ,1.033,202.987,80367.29,1591969.846,20.0993,4.4388,576406285290.0,20231031,20230930,17.7403,57.749,129.4686
20231229,002601.SZ,0.165,186.3835,123570.37,210450.297,17.1168,1.8107,40877203475.28,20231014,20230930,9.7124,12.3801,-32.497
20231229,002603.SZ,0.111,94.2458,143434.52,330884.852,14.2427,3.2508,38543173024.32,20231028,20230930,15.4347,7.9139,24.348
20231229,002648.SZ,0.143,182.1575,366375.03,533354.776,14.4458,2.0154,49687629109.75,20231025,20230930,14.83,11.2054,11.426
20231229,002709.SZ,0.167,356.6762,564627.04,1432013.218,15.5386,3.6755,48257850186.48,20231028,20230930,13.5295,-26.2022,-59.8273
20231229,002714.SZ,0.648,776.3152,210171.05,862967.866,22.7072,3.5055,225063135072.48,20231028,20230930,-2.6895,2.7176,-221.8231
20231229,002736.SZ,0.142,10.4627,178025.56,152044.858,13.2411,1.0372,82090146879.58,20231028,20230930,4.5119,-6.4755,2.35
20231229,002812.SZ,0.192,200.2029,146219.49,830468.583,18.9739,2.0666,55556014156.02,20231031,20230930,9.6445,-2.0069,-33.2436
20231229,002821.SZ,0.16,336.1508,46324.33,542079.418,15.378,2.4617,42916989734.1,20231031,20230930,13.3618,-18.2872,-18.7741
20231229,002841.SZ,0.111,78.177,25563.31,116849.596,20.8207,2.5946,32088698699.2,20231024,20230930,8.7319,-4.1365,-33.357
20231229,002916.SZ,0.084,125.7178,18459.88,131262.678,26.6521,2.8705,36409176209.65,20231027,20230930,7.2846,-9.7651,-23.181
20231229,002920.SZ,0.207,133.7992,35777.94,460160.55,49.5083,9.9244,71881080534.0,20231025,20230930,13.9909,43.1166,38.703
20231229,002938.SZ,0.089,24.4546,197360.01,435490.774,14.4206,1.8274,51792172053.12,20231031,20230930,6.5541,-17.4892,-43.5006
20231229,003816.SZ,0.141,3.4813,862966.21,266945.594,14.4422,1.3964,157050680521.0,20231026,20230930,8.8382,2.4435,10.3554
20231229,300014.SZ,0.298,754.3887,241125.42,1022727.602,20.2281,2.566,86329447173.4,20231026,20230930,10.6917,46.3096,28.4686
20231229,300015.SZ,0.425,1009.0369,664779.62,1059427.942,44.0731,7.8901,147575468553.66,20231026,20230930,17.9857,22.9524,34.9672
20231229,300033.SZ,0.194,1425.4524,55622.65,868419.332,53.3968,12.5807,84333312000.0,20231021,20230930,11.0495,4.2509,-12.6711
20231229,300059.SZ,1.025,1136.7491,1520285.39,2130239.154,27.4037,3.1601,222632210530.08,20231028,20230930,9.1567,-13.4719,-5.8428
20231229,300122.SZ,0.422,392.2412,111438.03,680011.356,17.3317,4.8943,146664000000.0,20231027,20230930,24.0959,41.1469,16.4641
20231229,300124.SZ,0.776,1552.1767,100273.23,628532.067,37.109,7.3955,169005965720.9,20231027,20230930,15.6976,23.8919,7.6035
20231229,300142.SZ,0.217,338.0792,260561.11,611676.064,50.3424,3.9563,37788762858.84,20231026,20230930,5.939,-14.7916,4.1369
20231229,300223.SZ,0.108,171.2447,50012.51,323138.218,73.0951,2.684,31133494746.15,20231026,20230930,3.2285,-18.9443,-49.651
20231229,300274.SZ,0.524,596.1751,230449.68,2021579.139,14.8569,5.0941,130084374688.56,20231028,20230930,32.6811,108.8497,250.5336
20231229,300308.SZ,0.417,530.9671,241047.16,2718458.84,54.366,6.68,90647110532.58,20231023,20230930,10.1577,2.4079,52.0065
20231229,300316.SZ,0.166,410.7035,126993.77,560737.106,13.0365,4.1603,57737345109.73,20231026,20230930,28.5266,80.3905,74.9422
